id,trigger,conditions,script,text,options,notes
greetingFSFFriendly,OpenCommLink,"$faction.id == aEP_FSF
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","$personName looks a little nervous, but relaxes after seeing your image."" Go ahead, Captain, what's up""
OR
""Greetings to you, friend of the company. There are many crazy people in this Sector; fortunately we are not one of them.""
OR
""Captains like you often need marines for missions, right? The company has a program to train ordinary crew members to become marines; if you are interested, ask the salesman in the communications directory of the business center for details.""",,
greetingFSFHostileWeaker,OpenCommLink,"$faction.id == aEP_FSF
$entity.isHostile
$entity.relativeStrength < 0",$ignorePlayerCommRequests = true 1,"The image of $personName stares at you without saying a word in the ripple caused by the unstable connection of the communicator, and after a short silence he turns his head away from the camera.
OR
""If only I could add even one more scratch to your fleet, damn it.""",cutCommLink:Cut the comm link,
greetingFSFHostileWeakerDefiant,OpenCommLink,"$faction.id == aEP_FSF
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""Isn't this the time for some rousing speeches?"" The captain of the company smiles at you with defiance, ""Today, let's meet on the battlefield.""
OR
""I like challenging assignments and I never fail to deliver."" $personName says these words through gritted teeth: ""Today is no different.""
",cutCommLink:Cut the comm link,
greetingFSFHostileStronger,OpenCommLink,"$faction.id == aEP_FSF
$entity.isHostile
$entity.relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""I'll assign each of your ships 2,000 shells each, I'm sure.""
OR
""Only the side with the greater power can decide; today you have no right to decide.""
OR
""Maybe you can run away for a while before I begin blowing your fleet into wreckage.""
",cutCommLink:Cut the comm link,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
##  fsf consult greet,##,##,##,,,
aEP_ConsultGreeting01,PickGreeting,"$isaEP_Consult
!$faction.isHostile
","ShowPersonVisual
","$personName gives you a professional smile: ""Hello, welcome to the front desk, what can I do for you?""
","0:aEP_offer_remain_part01:Ask $personName ""I heard that you are buying salvage parts?""
1:aEP_marine_training01:Ask $personName ""I want to train some Marines""
#2:aEP_hair_security01:Want to hire a  patrol to improve the security of the star system I control
3:cutCommLink:""I'm just browsing.""",
aEP_ConsultGreeting02,PickGreeting,"$isaEP_Consult
$faction.isHostile
","ShowPersonVisual

","$personName looks at you with surprise, ""Are you serious? I think you've been classified as a dangerous person.""",cutCommLink:Cut the comm link,
,,,,,,
,,,,,,
,,,,,,
##  offer remain parts,##,##,##,,,
aEP_offer_remain_part01,DialogOptionSelected,$option == aEP_offer_remain_part01,FireAll aEP_offer_remain_part01_Opts,"""One of our services at the Company involves the recycling these valuable parts. Perhaps you can sell it as raw material elsewhere, but we understand its true value - and as such, if you were to hand them to us, it would help us a lot, and of course the same goes for you, as we will also offer you some unique rewards in addition to a substantial bonus.""",,
aEP_part01_Have,aEP_offer_remain_part01_Opts,aEP_CheckItem aEP_remain_part 0 more,"aEP_HandInParts aEP_remain_part 0 none 0 showNum
",,"0:aEP_offer_remain_part03:Exchange salvaged parts for special rewards
1:aEP_offer_remain_part02:Exchange salvaged parts for Credits
2:cutCommLink:""I'll think about it.""",
aEP_part01_NotHave,aEP_offer_remain_part01_Opts,aEP_CheckItem aEP_remain_part 1 less,,,"0:cutCommLink:""I'm afraid I don't have one of those right now."" 
",
aEP_offer_remain_part02,DialogOptionSelected,$option == aEP_offer_remain_part02,"aEP_HandInParts aEP_remain_part 0 credits 200 chooseNum
",,0:cutCommLink:Cut the comm link,
,,,,,,
aEP_offer_remain_part03,DialogOptionSelected,$option == aEP_offer_remain_part03,,"""You can't get these things without some connections.""","0:aEP_part03_ShowShipBpList:Exchange for ship blueprints
1:aEP_part03_ShowBpPackList:Exchange for blueprint packages
2:cutCommLink:""I'll think about it.""",
aEP_part03_ShowShipBpList,DialogOptionSelected,$option == aEP_part03_ShowShipBpList,aEP_PickReward showPanel ship_bp,,"0:cutCommLink:Cut the comm link
1:aEP_offer_remain_part03:Choose again",
aEP_part03_ShowBpPackList,DialogOptionSelected,$option == aEP_part03_ShowBpPackList,aEP_PickReward showPanel bp_package,,"0:cutCommLink:Cut the comm link
1:aEP_offer_remain_part03:Choose again",
aEP_part03_ShowWeapBpList,DialogOptionSelected,$option == aEP_part03_ShowWeapBpList,,,"0:cutCommLink:Cut the comm link
1:aEP_offer_remain_part03:Choose again",
aEP_part03_ShowShipList,DialogOptionSelected,$option == aEP_part03_ShowShipList,,,"0:cutCommLink:Cut the comm link
1:aEP_offer_remain_part03:Choose again",
aEP_part03_ConfirmBuying,DialogOptionSelected,aEP_CheckItem aEP_part03_ConfirmBuying_ 0 checkId,aEP_PickReward confirmBuying,,cutCommLink:Cut the comm link,
aEP_part03_Buy,DialogOptionSelected,$option == aEP_part03_Buy,aEP_PickReward buy,,cutCommLink:Cut the comm link,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
##  train marines,##,##,##,,,
aEP_marine_training01,DialogOptionSelected,$option == aEP_marine_training01,,"""Of course, we offer crew-oriented courses in equipment operation, precision shooting, tactical maneuvers, simulated confrontations, and a host of other programs to ensure that their combat capabilities are at the level of regular Marine when their training is completed.""","0:aEP_marine_training_show:""Continue""
1:cutCommLink:""Let me think about it.""",
aEP_marine_training_show,DialogOptionSelected,$option == aEP_marine_training_show,aEP_TrainMarine selection ,,"0:cutCommLink:""Let me think about it.""",
aEP_marine_training_start,DialogOptionSelected,$option == aEP_marine_training_start,aEP_TrainMarine start,,,
,,,,,,
aEP_marine_training_deal,DialogOptionSelected,"$option == aEP_marine_training_deal
",,"""Very well, training will be completed in about 3 months, at which time your crew will be re-boarded when you visit a non-hostile space station.""","0:cutCommLink:""Alright.""",
aEP_marine_training_complete,MarketPostDock,"aEP_TrainMarine check
$hasMarket
!$faction.isHostile
$faction.id != neutral",aEP_TrainMarine complete,,"0:marketVisitBar:""Go get a drink at the nearest bar""",
,,,,,,
,,,,,,
,,,,,,
##  researcher greeting,##,##,##,,,
aEP_researcher_stage0,MarketPostOpen,"$id == aEP_FSF_DefStation
$faction.id == aEP_FSF
$faction.AWM_MetYang == false
aEP_AdvanceWeaponMission shouldStart
$faction.AWM_1Complete == false","$faction.AWM_MetYang = true
","Some time after docking, you are hanging out in the unrestricted area of the port when you get a communication request from someone inside the company: ""I know about you, can we talk about it? I have a job offer for you here.""","0:aEP_researcher_stage0_GreetAccept:""Tell me the details.""
1:aEP_researcher_stage0_GreetDecline:""Sorry, I'm busy at the moment.""",
aEP_researcher_stage0_GreetAccept,DialogOptionSelected,$option == aEP_researcher_stage0_GreetAccept,aEP_AdvanceWeaponMission shouldStart,"""Trust me, you will not regret it, though I would like you to switch to your personal comms, this matter involves some confidentiality.""",0:aEP_researcher_stage0_talk01:Continue,
aEP_researcher_stage0_GreetDecline,DialogOptionSelected,$option == aEP_researcher_stage0_GreetDecline,FireBest MarketPostOpen,,,
aEP_researcher_stage0_greeting_in,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_1Talked == false
$faction.AWM_MetYang == true SCORE:100
$faction.AWM_1Complete == false
","ShowPersonVisual
","""Now do you have some time? While this job will involve some confidential material, I promise you that the payoff is more than you can imagine.""","0:aEP_researcher_stage0_talk01:""Tell me the details.""
1:cutCommLink:""Sorry, I'm still rather busy as of now.""",
aEP_researcher_stage0_greeting_InWithHostile,PickGreeting,"$isaEP_Researcher 
$faction.isHostile SCORE:10000
$faction.AWM_MetYang == true

","ShowPersonVisual
","""Even though I personally trust your strength and competence, it would be troublesome to get involved with you given your current relationship with the Company. We'll talk about other things when you've resolved your reputation with us.""",0:cutCommLink:Cut the comm link,
aEP_researcher_stage0_greeting_normal,PickGreeting,"$isaEP_Researcher 
$faction.AWM_MetYang == false
$faction.AWM_1Complete == false","ShowPersonVisual
","""I'm the program director of the FSF's Advanced Weapons Program, $personName. how do you have my contact information? I don't think I've listed it in the public directory.""",0:cutCommLink:Cut the comm link,
aEP_researcher_stage0_talk01,DialogOptionSelected,"$option == aEP_researcher_stage0_talk01
$faction.AWM_1Talked == false
$faction.AWM_1Complete == false","ShowPersonVisual
$faction.AWM_1Talked = true
","""Well, let's just make this official."" - while you're looking at your personal terminal, $personFirstName himself has found you in the unrestricted section. ""Although you don't look as legendary as the things you've done,  we should find a place to sit down and talk. If you don't mind, let's head to my office.""","0:aEP_researcher_stage0_talk02:""Maybe you should tell me what kind of work it is first.""",
aEP_researcher_stage0_talk02,DialogOptionSelected,$option == aEP_researcher_stage0_talk02,,"""Can't say too much until I have your cooperation, this matter involves the Company's secrets. But I am confident that a captain like you should be quite interested in the latest products from the Company's secret research institute"". You half-heartedly follow $personFirstName, into the depths of the restricted area.

From the looks of things $heOrShe should have fairly high clearance, at least high enough to bring a stranger through the fortress unhindered. After some time on foot, you arrive at what appears to be a design office. Walking through the side-by-side offices along the way, you can see the drawings on the computers inside, and as a captain you immediately realize that what this place is designing are shipboard weapons.

After walking through the office area, you ascend an escalator to what appears to be the management area. In front of the office with ""Project Manager"" on the door, $personFirstName swipes a card, opening the door.",0:aEP_researcher_stage0_talk03:Follow $heOrShe in,
aEP_researcher_stage0_talk03,DialogOptionSelected,$option == aEP_researcher_stage0_talk03,aEP_AdvanceWeaponMission show1,"$personFirstName sits down on $heOrShe's seat and says to you while operating the terminal, ""To make it short, I want you to collect some weapons for me in the name of your fleet,"" $heOrShe sends a detailed message to your personal terminal, detailing what is needed.","0:aEP_researcher_stage0_talk04:""I feel like I'm entitled to some explanation at least.""
1:aEP_researcher_stage0_AskAccept:Continue",
aEP_researcher_stage0_talk04,DialogOptionSelected,$option == aEP_researcher_stage0_talk04,,"""Very interested in the matter, I like that."", $heOrShe says as she stops what she is doing and gets up and walks around to you, crossing her arms over her chest and leaning her back against the wall. ""I should formally introduce myself;, I am the director of the 'Advanced Weapons Program', the AWP for short, a sort of researcher but not the kind you are usually thinking of.""

""My job is to ensure the smooth running of the project, which means being familiar with various 'channels' such as you, Captain."", $personFirstName left the wall and continued while returning to $hisOrHer's computer desk, ""I've researched your exploits and believe that building a relationship with you would be beneficial to both me personally and the company.""

""I can't say much about the 'Advanced Weapons Program', just go with the name for now. For some tasks, going through the process takes more effort than getting a capable independent captain like you to handle them, which is why I've spent all the trouble looking for you. If you accept, in return I will give you some prototype weapons that are not available on the market; do think of it as helping us test the data, rest assured they are feature-complete and operational in all manner, just not mass produced for various reasons.""","0:aEP_researcher_stage0_AskAccept:""Very reasonable.""",
aEP_researcher_stage0_AskAccept,DialogOptionSelected,$option == aEP_researcher_stage0_AskAccept,,"""Do you accept this mission?""","0:aEP_researcher_stage0_Accept:Accept
1:aEP_researcher_stage0_Decline:Decline
",
aEP_researcher_stage0_Accept,DialogOptionSelected,$option == aEP_researcher_stage0_Accept,"aEP_AdvanceWeaponMission start1
$faction.AWM_1Accepted = true","""Very well, I hope you will not fail - for the sake of further cooperation.""",0:cutCommLink:Cut the comm link,
aEP_researcher_stage0_Decline,DialogOptionSelected,$option == aEP_researcher_stage0_Decline,,"""If you come around to changing your mind, you can contact me again.""",0:cutCommLink:Cut the comm link,
aEP_researcher_stage0_ReAsk,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_1Accepted == false
$faction.AWM_1Talked == true
$faction.AWM_MetYang == true
$faction.AWM_1Complete == false","ShowPersonVisual
aEP_AdvanceWeaponMission show1","""Continuing where we left off?""","0:aEP_researcher_stage0_Accept:Accept
1:aEP_researcher_stage0_Decline:Decline
",
aEP_researcher_stage0_ReAskAccepted,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_1Accepted == true
$faction.AWM_1Talked == true
$faction.AWM_MetYang == true
$faction.AWM_1Complete == false
","ShowPersonVisual
","""How's it going?""","0:cutCommLink:""I'm afraid you'll have to wait a few more days.""",
aEP_researcher_stage0_ReAskComplete,PickGreeting,"$isaEP_Researcher 
!$faction.isHostile
$faction.AWM_1Accepted == true
$faction.AWM_1Talked == true
$faction.AWM_MetYang == true 
$faction.AWM_1Complete == false
aEP_AdvanceWeaponMission check1 SCORE:100

","ShowPersonVisual
$faction.AWM_1Complete = true
aEP_AdvanceWeaponMission complete1
aEP_HandInParts aEP_long_barrel_chaingunAP -2 none 0","""Very well, your performance proves that I was right, perhaps we will work more together afterwards.""","0:aEP_researcher_stage0_Complete_talk01:""Let me see what's so special about the payoff.""",
aEP_researcher_stage0_Complete_talk01,DialogOptionSelected,$option == aEP_researcher_stage0_Complete_talk01,,"""As the name of the department suggests, we are responsible for weapons development in the Company, Naturally there were many projects that were close to success but were dropped because they were either too costly or too unreliable in harsh environments, and we don't want these 'experiments' to just sit in storage and rot.""","0:cutCommLink:""Let's hope it has that value.""",
,,,,,,
,,,,,,
,,,,,,
